UF,MUNICIPIO,ID_IBGE,POPULACAO_TOTAL
GO,Abadia de Goiás,5200050,22052
MG,Abadia dos Dourados,3100104,6345
GO,Abadiânia,5200100,17738
MG,Abaeté,3100203,23173
PA,Abaetetuba,1500107,172344
CE,Abaiara,2300101,10269
BA,Abaíra,2900108,7407
BA,Abaré,2900207,18269
PR,Abatiá,4100103,7233
SC,Abdon Batista,4200051,2629
PA,Abel Figueiredo,1500131,6275
SC,Abelardo Luz,4200101,17767
MG,Abre Campo,3100302,14354
PE,Abreu e Lima,2600054,104248
TO,Abreulândia,1700251,2682
MG,Acaiaca,3100401,3998
MA,Açailândia,2100055,110611
BA,Acajutiba,2900306,14200
PA,Acará,1500206,63110
CE,Acarape,2300150,14340
CE,Acaraú,2300200,69317
RN,Acari,2400109,10855
PI,Acauã,2200053,6323
RS,Aceguá,4300034,4251
CE,Acopiara,2300309,45937
MT,Acorizal,5100102,4948
AC,Acrelândia,1200013,14712
GO,Acreúna,5200134,22079
RN,Açu,2400208,59099
MG,Açucena,3100500,8926
SP,Adamantina,3500105,35673
GO,Adelândia,5200159,2282
SP,Adolfo,3500204,4505
PR,Adrianópolis,4100202,6319
BA,Adustina,2900355,14510
PE,Afogados da Ingazeira,2600104,42672
RN,Afonso Bezerra,2400307,11158
ES,Afonso Cláudio,3200102,32456
MA,Afonso Cunha,2100105,6303
PE,Afrânio,2600203,19409
PA,Afuá,1500305,40473
PE,Agrestina,2600302,24680
PI,Agricolândia,2200103,5016
SC,Agrolândia,4200200,11646
SC,Agronômica,4200309,6511
PA,Água Azul do Norte,1500347,17596
MG,Água Boa,3100609,12391
MT,Água Boa,5100201,32099
AL,Água Branca,2700102,19550
PI,Água Branca,2200202,18095
PB,Água Branca,2500106,9580
MS,Água Clara,5000203,17901
MG,Água Comprida,3100708,2171
SC,Água Doce,4200408,6587
MA,Água Doce do Maranhão,2100154,12461
ES,Água Doce do Norte,3200169,12585
BA,Água Fria,2900405,14833
GO,Água Fria de Goiás,5200175,4979
GO,Água Limpa,5200209,1843
RN,Água Nova,2400406,3029
PE,Água Preta,2600401,26981
RS,Água Santa,4300059,4003
SP,Aguaí,3500303,32886
MG,Aguanil,3100807,4509
PE,Águas Belas,2600500,43822
SP,Águas da Prata,3500402,7463
SC,Águas de Chapecó,4200507,6123
SP,Águas de Lindóia,3500501,18257
SP,Águas de Santa Bárbara,3500550,7460
SP,Águas de São Pedro,3500600,2928
MG,Águas Formosas,3100906,18850
SC,Águas Frias,4200556,3000
GO,Águas Lindas de Goiás,5200258,245352
SC,Águas Mornas,4200606,7193
MG,Águas Vermelhas,3101003,14567
RS,Agudo,4300109,16341
SP,Agudos,3500709,38988
PR,Agudos do Sul,4100301,10770
ES,Águia Branca,3200136,10143
PB,Aguiar,2500205,5026
TO,Aguiarnópolis,1700301,4502
MG,Aimorés,3101102,26212
BA,Aiquara,2900603,4583
CE,Aiuaba,2300408,14115
MG,Aiuruoca,3101201,6389
RS,Ajuricaba,4300208,6843
MG,Alagoa,3101300,2820
PB,Alagoa Grande,2500304,26655
PB,Alagoa Nova,2500403,21823
PB,Alagoinha,2500502,14140
PE,Alagoinha,2600609,14460
PI,Alagoinha do Piauí,2200251,6876
BA,Alagoinhas,2900702,161196
SP,Alambari,3500758,6373
MG,Albertina,3101409,3027
MA,Alcântara,2100204,18721
CE,Alcântaras,2300507,11795
PB,Alcantil,2500536,5806
MS,Alcinópolis,5000252,4649
BA,Alcobaça,2900801,25601
MA,Aldeias Altas,2100303,23776
RS,Alecrim,4300307,6219
ES,Alegre,3200201,30702
RS,Alegrete,4300406,74285
PI,Alegrete do Piauí,2200277,4707
RS,Alegria,4300455,3705
MG,Além Paraíba,3101508,31159
PA,Alenquer,1500404,75882
RN,Alexandria,2400505,14058
GO,Alexânia,5200308,28244
MG,Alfenas,3101607,82303
ES,Alfredo Chaves,3200300,14376
SP,Alfredo Marcondes,3500808,4574
MG,Alfredo Vasconcelos,3101631,7236
SC,Alfredo Wagner,4200705,10963
PB,Algodão de Jandaíra,2500577,3143
PB,Alhandra,2500601,23065
PE,Aliança,2600708,37349
TO,Aliança do Tocantins,1700350,5196
BA,Almadina,2900900,5296
TO,Almas,1700400,6483
PA,Almeirim,1500503,36442
MG,Almenara,3101706,42019
RN,Almino Afonso,2400604,4802
PR,Almirante Tamandaré,4100400,125861
RS,Almirante Tamandaré do Sul,4300471,2007
GO,Aloândia,5200506,1977
MG,Alpercata,3101805,7019
RS,Alpestre,4300505,7235
MG,Alpinópolis,3101904,18673
MT,Alta Floresta,5100250,62158
RO,Alta Floresta D'Oeste,1100015,22787
SP,Altair,3500907,3467
PA,Altamira,1500602,138749
MA,Altamira do Maranhão,2100402,6549
PR,Altamira do Paraná,4100459,3496
CE,Altaneira,2300606,6974
MG,Alterosa,3102001,14272
PE,Altinho,2600807,21134
SP,Altinópolis,3501004,17197
SP,Alto Alegre,3501103,3874
RS,Alto Alegre,4300554,1837
RR,Alto Alegre,1400050,23589
MA,Alto Alegre do Maranhão,2100436,24528
MA,Alto Alegre do Pindaré,2100477,26321
RO,Alto Alegre dos Parecis,1100379,12237
MT,Alto Araguaia,5100300,17751
SC,Alto Bela Vista,4200754,1847
MT,Alto Boa Vista,5100359,5920
MG,Alto Caparaó,3102050,6014
RN,Alto do Rodrigues,2400703,12874
RS,Alto Feliz,4300570,3145
MT,Alto Garças,5100409,13956
GO,Alto Horizonte,5200555,6487
MG,Alto Jequitibá,3153509,8606
PI,Alto Longá,2200301,13729
MT,Alto Paraguai,5100508,7525
PR,Alto Paraíso,4128625,3067
RO,Alto Paraíso,1100403,17467
GO,Alto Paraíso de Goiás,5200605,11182
PR,Alto Paraná,4100608,14183
MA,Alto Parnaíba,2100501,11392
PR,Alto Piquiri,4100707,9771
MG,Alto Rio Doce,3102100,10931
ES,Alto Rio Novo,3200359,7760
CE,Alto Santo,2300705,14372
MT,Alto Taquari,5100607,11877
PR,Altônia,4100509,18634
PI,Altos,2200400,50094
SP,Alumínio,3501152,17607
AM,Alvarães,1300029,16806
MG,Alvarenga,3102209,3983
SP,Álvares Florence,3501202,3979
