UF,MUNICIPIO,ZONA,ELEITORES_TOTAL,ELEITORES_FEMININO,ELEITORES_MASCULINO,SECOES
AC,Acrelândia,8,10066,5055,5011,48
AC,Assis Brasil,6,7158,3566,3592,28
AC,Brasiléia,6,19439,9966,9473,81
AC,Bujari,9,11205,5474,5731,41
AC,Capixaba,2,8127,3943,4184,35
AC,Cruzeiro do Sul,4,61774,32103,29671,260
AC,Epitaciolândia,6,14197,7290,6907,55
AC,Feijó,7,23693,11769,11924,93
AC,Jordão,5,5868,2725,3143,25
AC,Manoel Urbano,3,8489,4175,4314,31
AC,Marechal Thaumaturgo,4,11733,5564,6169,49
AC,Mâncio Lima,4,14203,7191,7012,59
AC,Plácido de Castro,8,12158,6076,6082,68
AC,Porto Acre,1,14272,6825,7447,63
AC,Porto Walter,4,7872,3717,4155,34
AC,Rio Branco,1,133614,71803,61811,523
AC,Rio Branco,9,129776,70322,59454,439
AC,Rodrigues Alves,4,12008,5901,6107,56
AC,Santa Rosa do Purus,3,3981,1980,2001,18
AC,Sena Madureira,3,30204,15061,15143,121
AC,Senador Guiomard,8,18673,9345,9328,98
AC,Tarauacá,5,29184,14689,14495,119
AC,Xapuri,2,12582,6248,6334,66
AL,Anadia,48,12773,6779,5994,48
AL,Arapiraca,22,76816,42472,34344,209
AL,Arapiraca,55,77536,43202,34334,249
AL,Atalaia,6,31768,16501,15267,112
AL,Barra de Santo Antônio,17,14842,7775,7067,41
AL,Barra de São Miguel,26,7969,4203,3766,27
AL,Batalha,29,13403,7102,6301,36
AL,Belo Monte,29,6010,3065,2945,16
AL,Belém,28,4899,2539,2360,25
AL,Boca da Mata,48,19451,10113,9338,58
AL,Branquinha,9,9009,4646,4363,26
AL,Cacimbinhas,46,8650,4635,4015,24
AL,Cajueiro,5,14260,7542,6718,42
AL,Campestre,53,5952,3094,2858,17
AL,Campo Alegre,47,26559,13962,12597,77
AL,Campo Grande,20,9005,4602,4403,26
AL,Canapi,27,14700,7563,7137,52
AL,Capela,6,12721,6715,6006,45
AL,Carneiros,19,7628,4036,3592,24
AL,Chã Preta,28,6730,3429,3301,23
AL,Coité do Nóia,45,9337,4759,4578,29
AL,Colônia Leopoldina,16,15331,7831,7500,55
AL,Coqueiro Seco,8,5389,2760,2629,17
AL,Coruripe,7,40875,21397,19478,120
AL,Craíbas,31,21379,11065,10314,59
AL,Delmiro Gouveia,40,40341,21385,18956,152
AL,Dois Riachos,46,9450,4812,4638,27
AL,Estrela de Alagoas,46,12588,6594,5994,41
AL,Feira Grande,49,18946,10022,8924,51
AL,Feliz Deserto,7,3946,2042,1904,11
AL,Flexeiras,53,8439,4377,4062,26
AL,Girau do Ponciano,44,27877,14591,13286,73
AL,Ibateguara,16,11435,5893,5542,33
AL,Igaci,45,20268,10639,9629,83
AL,Igreja Nova,37,17757,9033,8724,56
AL,Inhapi,39,14076,7515,6561,42
AL,Jacaré dos Homens,29,5244,2683,2561,14
AL,Jacuípe,14,5935,2988,2947,17
AL,Japaratinga,14,8832,4533,4299,26
AL,Jaramataia,44,5069,2594,2475,16
AL,Jequiá da Praia,18,8264,4119,4145,24
AL,Joaquim Gomes,53,15015,7641,7374,55
AL,Jundiá,14,4758,2384,2374,14
AL,Junqueiro,34,19780,10267,9513,76
AL,Lagoa da Canoa,44,16898,8796,8102,46
AL,Limoeiro de Anadia,47,20106,10616,9490,64
AL,Maceió,1,108805,60566,48239,332
AL,Maceió,2,161217,90397,70820,416
AL,Maceió,3,116072,64099,51973,350
AL,Maceió,33,94687,52425,42262,254
AL,Maceió,54,146887,81929,64958,311
AL,Major Isidoro,31,15374,8075,7299,46
AL,Mar Vermelho,5,3558,1837,1721,11
AL,Maragogi,14,25214,13078,12136,68
AL,Maravilha,50,8800,4484,4316,26
AL,Marechal Deodoro,26,45635,24338,21297,140
AL,Maribondo,48,10713,5758,4955,36
AL,Mata Grande,27,18241,9357,8884,62
AL,Matriz de Camaragibe,12,18273,9594,8679,53
AL,Messias,9,13774,7247,6527,39
AL,Minador do Negrão,46,5064,2612,2452,18
AL,Monteirópolis,29,6139,3241,2898,19
AL,Murici,9,20251,10733,9518,63
AL,Novo Lino,53,9606,4863,4743,29
AL,Olho d'Água Grande,37,5098,2522,2576,16
AL,Olho d'Água das Flores,11,15872,8513,7359,47
AL,Olho d'Água do Casado,40,7565,3851,3714,21
AL,Olivença,19,9919,5059,4860,38
AL,Ouro Branco,50,9689,4975,4714,27
AL,Palestina,11,4904,2586,2318,14
AL,Palmeira dos Índios,10,53638,29110,24528,171
AL,Pariconha,39,9491,4841,4650,28
AL,Paripueira,17,12435,6401,6034,33
AL,Passo de Camaragibe,12,12234,6222,6012,40
AL,Paulo Jacinto,28,6472,3336,3136,25
AL,Penedo,13,44008,23785,20223,139
